,group,metric,mean,lower,upper
0,shared_bottleneck,det_f1_precision,0.7113653004169465,0.6844976309373956,0.7382329698964973
1,shared_bottleneck,det_f1_recall,0.6578616321086883,0.6306843555635127,0.685038908653864
2,shared_bottleneck,det_f1_f_measure,0.6817632853984833,0.6755984136582134,0.6879281571387532
3,shared_bottleneck,seg_iou_jaccard_index,0.36983969509601594,0.3425840154752654,0.3970953747167665
4,shared_bottleneck,det_auc_ap_auroc,0.9029782533645629,0.8857536552265535,0.9202028515025724
5,shared_bottleneck,det_auc_ap_average_precision,0.5380393326282501,0.5213131502063398,0.5547655150501604
6,shared_bottleneck,seg_auc_ap_auroc,0.912505716085434,0.9081783553600383,0.9168330768108296
7,shared_bottleneck,seg_auc_ap_average_precision,0.5986177861690521,0.5876205856687686,0.6096149866693357
8,separate_bottleneck,det_f1_precision,0.7324420392513276,0.7019749073553403,0.7629091711473148
9,separate_bottleneck,det_f1_recall,0.651572334766388,0.6270028730090743,0.6761417965237017
10,separate_bottleneck,det_f1_f_measure,0.6878780424594879,0.6802028766868274,0.6955532082321484
11,separate_bottleneck,seg_iou_jaccard_index,0.3543535739183426,0.33128703928111575,0.37742010855556946
12,separate_bottleneck,det_auc_ap_auroc,0.8955332219600678,0.8863785052870788,0.9046879386330567
13,separate_bottleneck,det_auc_ap_average_precision,0.5452610909938812,0.5338980398099288,0.5566241421778336
14,separate_bottleneck,seg_auc_ap_auroc,0.9141563057899476,0.9109214071480964,0.9173912044317987
15,separate_bottleneck,seg_auc_ap_average_precision,0.6138995289802551,0.6044927326570373,0.623306325303473
16,detection_only,det_f1_precision,0.7338351547718048,0.6804571634111068,0.7872131461325028
17,detection_only,det_f1_recall,0.6522012531757355,0.6269234110520427,0.6774790952994283
18,detection_only,det_f1_f_measure,0.6869604587554932,0.6731697033218416,0.7007512141891448
19,detection_only,seg_iou_jaccard_index,0.2982890322804451,0.2768684744970672,0.31970959006382305
20,detection_only,det_auc_ap_auroc,0.8905869066715241,0.8802815251766553,0.9008922881663929
21,detection_only,det_auc_ap_average_precision,0.5243045806884765,0.5136303502037962,0.5349788111731568
22,detection_only,seg_auc_ap_auroc,0.8798642456531525,0.8738438846731168,0.8858846066331881
23,detection_only,seg_auc_ap_average_precision,0.5066964626312256,0.4907125625201271,0.522680362742324
